shift_Id,doct_Id,nurse_Id,helper_Id,shift_Date,shift_Start,shift_End
70035,1118,null,null,2025-05-23,08:00:00,16:00:00
70036,1120,null,null,2025-05-24,14:00:00,22:00:00
70037,1123,null,null,2025-05-25,08:00:00,16:00:00
70038,1122,null,null,2025-05-26,14:00:00,22:00:00
70039,1128,null,null,2025-05-27,08:00:00,16:00:00
70040,1127,null,null,2025-05-28,14:00:00,22:00:00
70041,1137,null,null,2025-05-29,08:00:00,16:00:00
70042,1138,null,null,2025-05-30,14:00:00,22:00:00
70043,1142,null,null,2025-05-31,08:00:00,16:00:00
70044,1182,null,null,2025-06-01,06:00:00,14:00:00
70045,1166,null,null,2025-06-02,14:00:00,22:00:00
70046,1154,null,null,2025-05-19,22:00:00,06:00:00
70047,1162,null,null,2025-05-20,06:00:00,14:00:00
70048,1185,null,null,2025-05-21,08:00:00,16:00:00
70049,1189,null,null,2025-05-22,14:00:00,22:00:00
70050,1187,null,null,2025-05-23,08:00:00,16:00:00
70051,1190,null,null,2025-05-24,08:00:00,16:00:00
70052,1195,null,null,2025-05-25,14:00:00,22:00:00
70053,1194,null,null,2025-05-26,08:00:00,16:00:00
70054,1200,null,null,2025-05-27,08:00:00,16:00:00
70055,1201,null,null,2025-05-28,14:00:00,22:00:00
70056,1226,null,null,2025-05-29,08:00:00,16:00:00
70057,1204,null,null,2025-05-30,14:00:00,22:00:00
70058,1220,null,null,2025-05-31,08:00:00,16:00:00
70059,1253,null,null,2025-06-01,08:00:00,16:00:00
70060,1251,null,null,2025-06-02,14:00:00,22:00:00
70061,1249,null,null,2025-05-19,08:00:00,16:00:00
70062,1258,null,null,2025-05-20,08:00:00,16:00:00
70063,1254,null,null,2025-05-21,14:00:00,22:00:00
70064,1259,null,null,2025-05-22,08:00:00,16:00:00
70065,1269,null,null,2025-05-23,08:00:00,16:00:00
70066,1264,null,null,2025-05-24,14:00:00,22:00:00
70067,1266,null,null,2025-05-25,08:00:00,16:00:00
70068,1274,null,null,2025-05-26,08:00:00,16:00:00
70069,1273,null,null,2025-05-27,14:00:00,22:00:00
70070,1279,null,null,2025-05-28,08:00:00,16:00:00
70071,1284,null,null,2025-05-29,08:00:00,16:00:00
70072,1296,null,null,2025-05-30,14:00:00,22:00:00
70073,1283,null,null,2025-05-31,08:00:00,16:00:00
70074,1304,null,null,2025-06-01,08:00:00,16:00:00
70075,1303,null,null,2025-06-02,14:00:00,22:00:00
70076,1329,null,null,2025-05-19,08:00:00,16:00:00
70077,1318,null,null,2025-05-20,14:00:00,22:00:00
70078,1319,null,null,2025-05-21,08:00:00,16:00:00
70079,1363,null,null,2025-05-22,08:00:00,16:00:00
70080,1381,null,null,2025-05-23,14:00:00,22:00:00
70081,1378,null,null,2025-05-24,08:00:00,16:00:00
70082,1393,null,null,2025-05-25,08:00:00,16:00:00
70083,1397,null,null,2025-05-26,14:00:00,22:00:00
70084,1395,null,null,2025-05-27,08:00:00,16:00:00
70085,1005,null,null,2025-05-28,06:00:00,14:00:00
70086,1004,null,null,2025-05-29,14:00:00,22:00:00
70087,1002,null,null,2025-05-30,18:00:00,02:00:00
70088,1009,null,null,2025-05-31,08:00:00,16:00:00
70089,1017,null,null,2025-06-01,08:00:00,16:00:00
70090,1022,null,null,2025-06-02,08:00:00,16:00:00
70091,1020,null,null,2025-05-19,14:00:00,22:00:00
70092,1025,null,null,2025-05-20,08:00:00,16:00:00
70093,1062,null,null,2025-05-21,07:00:00,15:00:00
70094,1055,null,null,2025-05-22,15:00:00,23:00:00
70095,1065,null,null,2025-05-23,19:00:00,03:00:00
70096,1037,null,null,2025-05-24,23:00:00,07:00:00
70097,1052,null,null,2025-05-25,07:00:00,15:00:00
70098,1047,null,null,2025-05-26,15:00:00,23:00:00
70099,1035,null,null,2025-05-27,19:00:00,03:00:00
70100,1050,null,null,2025-05-28,23:00:00,07:00:00
70101,1085,null,null,2025-05-29,08:00:00,16:00:00
70102,1082,null,null,2025-05-30,14:00:00,22:00:00
70103,1092,null,null,2025-05-31,08:00:00,16:00:00
70104,1097,null,null,2025-06-01,08:00:00,16:00:00
70105,1095,null,null,2025-06-02,14:00:00,22:00:00
70106,1100,null,null,2025-05-19,08:00:00,16:00:00
70107,1110,null,null,2025-05-20,08:00:00,16:00:00
70108,1107,null,null,2025-05-21,14:00:00,22:00:00
70109,1115,null,null,2025-05-22,08:00:00,16:00:00
70110,1112,null,null,2025-05-23,14:00:00,22:00:00
70111,1122,null,null,2025-05-24,08:00:00,16:00:00
70112,1125,null,null,2025-05-25,14:00:00,22:00:00
70113,1127,null,null,2025-05-26,08:00:00,16:00:00
70114,1130,null,null,2025-05-27,14:00:00,22:00:00
70115,1145,null,null,2025-05-28,08:00:00,16:00:00
70116,1140,null,null,2025-05-29,14:00:00,22:00:00
70117,1137,null,null,2025-05-30,08:00:00,16:00:00
70118,1181,null,null,2025-05-31,06:00:00,14:00:00
70119,1157,null,null,2025-06-01,14:00:00,22:00:00
70120,1178,null,null,2025-06-02,22:00:00,06:00:00
70121,1173,null,null,2025-05-19,06:00:00,14:00:00
70122,1189,null,null,2025-05-20,08:00:00,16:00:00
70123,1192,null,null,2025-05-21,08:00:00,16:00:00
70124,1194,null,null,2025-05-22,14:00:00,22:00:00
70125,1200,null,null,2025-05-23,08:00:00,16:00:00
70126,1197,null,null,2025-05-24,14:00:00,22:00:00
70127,1244,null,null,2025-05-25,08:00:00,16:00:00
70128,1235,null,null,2025-05-26,14:00:00,22:00:00
70129,1229,null,null,2025-05-27,08:00:00,16:00:00
70130,1253,null,null,2025-05-28,08:00:00,16:00:00
70131,1258,null,null,2025-05-29,08:00:00,16:00:00
70132,1261,null,null,2025-05-30,14:00:00,22:00:00
70133,1256,null,null,2025-05-31,08:00:00,16:00:00
70134,1268,null,null,2025-06-01,08:00:00,16:00:00
70135,1273,null,null,2025-06-02,08:00:00,16:00:00
70136,1271,null,null,2025-05-19,14:00:00,22:00:00
70137,1276,null,null,2025-05-20,08:00:00,16:00:00
70138,1291,null,null,2025-05-21,08:00:00,16:00:00
70139,1283,null,null,2025-05-22,14:00:00,22:00:00
70140,1298,null,null,2025-05-23,08:00:00,16:00:00
70141,1301,null,null,2025-05-24,08:00:00,16:00:00
70142,1303,null,null,2025-05-25,14:00:00,22:00:00
70143,1306,null,null,2025-05-26,08:00:00,16:00:00
70144,1318,null,null,2025-05-27,14:00:00,22:00:00
70145,1336,null,null,2025-05-28,08:00:00,16:00:00
70146,1387,null,null,2025-05-29,08:00:00,16:00:00
70147,1372,null,null,2025-05-30,14:00:00,22:00:00
70148,1383,null,null,2025-05-31,08:00:00,16:00:00
70149,1400,null,null,2025-06-01,08:00:00,16:00:00
70150,1397,null,null,2025-06-02,14:00:00,22:00:00
70151,1005,null,null,2025-05-19,06:00:00,14:00:00
70152,1001,null,null,2025-05-20,14:00:00,22:00:00
70153,1003,null,null,2025-05-21,18:00:00,02:00:00
70154,1010,null,null,2025-05-22,08:00:00,16:00:00
70155,1011,null,null,2025-05-23,12:00:00,20:00:00
70156,1013,null,null,2025-05-24,08:00:00,16:00:00
70157,1018,null,null,2025-05-25,08:00:00,16:00:00
70158,1020,null,null,2025-05-26,08:00:00,16:00:00
70159,1023,null,null,2025-05-27,14:00:00,22:00:00
70160,1025,null,null,2025-05-28,08:00:00,16:00:00
70161,1040,null,null,2025-05-29,07:00:00,15:00:00
70162,1078,null,null,2025-05-30,15:00:00,23:00:00
70163,1063,null,null,2025-05-31,19:00:00,03:00:00
70164,1053,null,null,2025-06-01,23:00:00,07:00:00
70165,1050,null,null,2025-06-02,07:00:00,15:00:00
70166,1033,null,null,2025-05-19,15:00:00,23:00:00
70167,1043,null,null,2025-05-20,19:00:00,03:00:00
70168,1038,null,null,2025-05-21,23:00:00,07:00:00
70169,1083,null,null,2025-05-22,08:00:00,16:00:00
70170,1088,null,null,2025-05-23,14:00:00,22:00:00
70171,1080,null,null,2025-05-24,08:00:00,16:00:00
70172,1093,null,null,2025-05-25,08:00:00,16:00:00
70173,1095,null,null,2025-05-26,14:00:00,22:00:00
70174,1098,null,null,2025-05-27,08:00:00,16:00:00
70175,1100,null,null,2025-05-28,14:00:00,22:00:00
70176,1103,null,null,2025-05-29,08:00:00,16:00:00
70177,1110,null,null,2025-05-30,08:00:00,16:00:00
70178,1108,null,null,2025-05-31,14:00:00,22:00:00
70179,1115,null,null,2025-06-01,08:00:00,16:00:00
70180,1113,null,null,2025-06-02,14:00:00,22:00:00
70181,1118,null,null,2025-05-19,08:00:00,16:00:00
70182,1125,null,null,2025-05-20,08:00:00,16:00:00
70183,1123,null,null,2025-05-21,14:00:00,22:00:00
70184,1128,null,null,2025-05-22,08:00:00,16:00:00
70185,1130,null,null,2025-05-23,14:00:00,22:00:00
70186,1143,null,null,2025-05-24,08:00:00,16:00:00
70187,1140,null,null,2025-05-25,14:00:00,22:00:00
70188,1145,null,null,2025-05-26,08:00:00,16:00:00
70189,1168,null,null,2025-05-27,06:00:00,14:00:00
70190,1164,null,null,2025-05-28,14:00:00,22:00:00
70191,1160,null,null,2025-05-29,22:00:00,06:00:00
70192,1172,null,null,2025-05-30,06:00:00,14:00:00
70193,1185,null,null,2025-05-31,08:00:00,16:00:00
70194,1192,null,null,2025-06-01,08:00:00,16:00:00
70195,1195,null,null,2025-06-02,14:00:00,22:00:00
70196,1190,null,null,2025-05-19,08:00:00,16:00:00
70197,1201,null,null,2025-05-20,08:00:00,16:00:00
70198,1197,null,null,2025-05-21,14:00:00,22:00:00
70199,1234,null,null,2025-05-22,08:00:00,16:00:00
70200,1242,null,null,2025-05-23,14:00:00,22:00:00
70201,1246,null,null,2025-05-24,08:00:00,16:00:00
70202,1249,null,null,2025-05-25,08:00:00,16:00:00
70203,1261,null,null,2025-05-26,08:00:00,16:00:00
70204,1254,null,null,2025-05-27,14:00:00,22:00:00
70205,1256,null,null,2025-05-28,08:00:00,16:00:00
70206,1269,null,null,2025-05-29,08:00:00,16:00:00
70207,1264,null,null,2025-05-30,14:00:00,22:00:00
70208,1274,null,null,2025-05-31,08:00:00,16:00:00
70209,1271,null,null,2025-06-01,14:00:00,22:00:00
70210,1279,null,null,2025-06-02,08:00:00,16:00:00
70211,1276,null,null,2025-05-19,14:00:00,22:00:00
70212,1299,null,null,2025-05-20,08:00:00,16:00:00
70213,1294,null,null,2025-05-21,14:00:00,22:00:00
70214,1286,null,null,2025-05-22,08:00:00,16:00:00
70215,1304,null,null,2025-05-23,08:00:00,16:00:00
70216,1301,null,null,2025-05-24,14:00:00,22:00:00
70217,1334,null,null,2025-05-25,08:00:00,16:00:00
70218,1324,null,null,2025-05-26,14:00:00,22:00:00
70219,1316,null,null,2025-05-27,08:00:00,16:00:00
70220,1366,null,null,2025-05-28,08:00:00,16:00:00
70221,1381,null,null,2025-05-29,14:00:00,22:00:00
70222,1375,null,null,2025-05-30,08:00:00,16:00:00
70223,1398,null,null,2025-05-31,08:00:00,16:00:00
70224,1393,null,null,2025-06-01,14:00:00,22:00:00
70225,1400,null,null,2025-06-02,08:00:00,16:00:00
70226,1006,null,null,2025-05-19,06:00:00,14:00:00
70227,1007,null,null,2025-05-20,14:00:00,22:00:00
70228,1002,null,null,2025-05-21,18:00:00,02:00:00
70229,1004,null,null,2025-05-22,22:00:00,06:00:00
70230,1012,null,null,2025-05-23,08:00:00,16:00:00
70231,1008,null,null,2025-05-24,12:00:00,20:00:00
70232,1014,null,null,2025-05-25,08:00:00,16:00:00
70233,1015,null,null,2025-05-26,14:00:00,22:00:00
70234,1019,null,null,2025-05-27,08:00:00,16:00:00
70235,1016,null,null,2025-05-28,14:00:00,22:00:00
70236,1021,null,null,2025-05-29,08:00:00,16:00:00
70237,1026,null,null,2025-05-30,08:00:00,16:00:00
70238,1024,null,null,2025-05-31,14:00:00,22:00:00
70239,1069,null,null,2025-06-01,07:00:00,15:00:00
70240,1057,null,null,2025-06-02,15:00:00,23:00:00
70241,1044,null,null,2025-05-19,19:00:00,03:00:00
70242,1027,null,null,2025-05-20,23:00:00,07:00:00
70243,1054,null,null,2025-05-21,07:00:00,15:00:00
70244,1075,null,null,2025-05-22,15:00:00,23:00:00
70245,1034,null,null,2025-05-23,19:00:00,03:00:00
70246,1045,null,null,2025-05-24,23:00:00,07:00:00
70247,1079,null,null,2025-05-25,08:00:00,16:00:00
70248,1090,null,null,2025-05-26,14:00:00,22:00:00
70249,1081,null,null,2025-05-27,08:00:00,16:00:00
70250,1096,null,null,2025-05-28,08:00:00,16:00:00
70251,1094,null,null,2025-05-29,14:00:00,22:00:00
70252,1104,null,null,2025-05-30,08:00:00,16:00:00
70253,1101,null,null,2025-05-31,14:00:00,22:00:00
70254,1099,null,null,2025-06-01,08:00:00,16:00:00
70255,1109,null,null,2025-06-02,08:00:00,16:00:00
70256,1106,null,null,2025-05-19,14:00:00,22:00:00
70257,1116,null,null,2025-05-20,08:00:00,16:00:00
70258,1111,null,null,2025-05-21,14:00:00,22:00:00
70259,1114,null,null,2025-05-22,08:00:00,16:00:00
70260,1119,null,null,2025-05-23,08:00:00,16:00:00
70261,1117,null,null,2025-05-24,14:00:00,22:00:00
70262,1120,null,null,2025-05-25,08:00:00,16:00:00
70263,1124,null,null,2025-05-26,08:00:00,16:00:00
70264,1129,null,null,2025-05-27,08:00:00,16:00:00
70265,1126,null,null,2025-05-28,14:00:00,22:00:00
70266,1136,null,null,2025-05-29,08:00:00,16:00:00
70267,1131,null,null,2025-05-30,14:00:00,22:00:00
70268,1135,null,null,2025-05-31,08:00:00,16:00:00
70269,1158,null,null,2025-06-01,06:00:00,14:00:00
70270,1166,null,null,2025-06-02,14:00:00,22:00:00
70271,1162,null,null,2025-05-19,22:00:00,06:00:00
70272,1170,null,null,2025-05-20,06:00:00,14:00:00
70273,1186,null,null,2025-05-21,08:00:00,16:00:00
70274,1188,null,null,2025-05-22,14:00:00,22:00:00
70275,1187,null,null,2025-05-23,08:00:00,16:00:00
70276,1191,null,null,2025-05-24,08:00:00,16:00:00
70277,1193,null,null,2025-05-25,14:00:00,22:00:00
70278,1198,null,null,2025-05-26,08:00:00,16:00:00
70279,1196,null,null,2025-05-27,14:00:00,22:00:00
70280,1199,null,null,2025-05-28,08:00:00,16:00:00
70281,1213,null,null,2025-05-29,08:00:00,16:00:00
70282,1202,null,null,2025-05-30,14:00:00,22:00:00
70283,1238,null,null,2025-05-31,08:00:00,16:00:00
70284,1251,null,null,2025-06-01,08:00:00,16:00:00
70285,1250,null,null,2025-06-02,14:00:00,22:00:00
70286,1252,null,null,2025-05-19,08:00:00,16:00:00
70287,1257,null,null,2025-05-20,08:00:00,16:00:00
70288,1255,null,null,2025-05-21,14:00:00,22:00:00
70289,1262,null,null,2025-05-22,08:00:00,16:00:00
70290,1267,null,null,2025-05-23,08:00:00,16:00:00
70291,1266,null,null,2025-05-24,14:00:00,22:00:00
70292,1265,null,null,2025-05-25,08:00:00,16:00:00
70293,1272,null,null,2025-05-26,08:00:00,16:00:00
70294,1270,null,null,2025-05-27,14:00:00,22:00:00
70295,1278,null,null,2025-05-28,08:00:00,16:00:00
70296,1277,null,null,2025-05-29,14:00:00,22:00:00
70297,1275,null,null,2025-05-30,08:00:00,16:00:00
70298,1300,null,null,2025-05-31,08:00:00,16:00:00
70299,1297,null,null,2025-06-01,14:00:00,22:00:00
70300,1285,null,null,2025-06-02,08:00:00,16:00:00
70301,1302,null,null,2025-05-19,08:00:00,16:00:00
70302,1323,null,null,2025-05-20,08:00:00,16:00:00
70303,1320,null,null,2025-05-21,14:00:00,22:00:00
70304,1337,null,null,2025-05-22,08:00:00,16:00:00
70305,1362,null,null,2025-05-23,08:00:00,16:00:00
70306,1354,null,null,2025-05-24,14:00:00,22:00:00
70307,1363,null,null,2025-05-25,08:00:00,16:00:00
70308,1396,null,null,2025-05-26,08:00:00,16:00:00
70309,1394,null,null,2025-05-27,14:00:00,22:00:00
70310,1399,null,null,2025-05-28,08:00:00,16:00:00
70311,1003,null,null,2025-05-29,06:00:00,14:00:00
70312,1006,null,null,2025-05-30,14:00:00,22:00:00
70313,1009,null,null,2025-05-31,08:00:00,16:00:00
70314,1013,null,null,2025-06-01,08:00:00,16:00:00
70315,1018,null,null,2025-06-02,08:00:00,16:00:00
70316,1016,null,null,2025-05-19,14:00:00,22:00:00
70317,1023,null,null,2025-05-20,08:00:00,16:00:00
70318,1020,null,null,2025-05-21,14:00:00,22:00:00
70319,1021,null,null,2025-05-22,08:00:00,16:00:00
70320,1025,null,null,2025-05-23,08:00:00,16:00:00
70321,1026,null,null,2025-05-24,14:00:00,22:00:00
70322,1063,null,null,2025-05-25,07:00:00,15:00:00
70323,1053,null,null,2025-05-26,15:00:00,23:00:00
70324,1031,null,null,2025-05-27,19:00:00,03:00:00
70325,1042,null,null,2025-05-28,23:00:00,07:00:00
70326,1051,null,null,2025-05-29,07:00:00,15:00:00
70327,1043,null,null,2025-05-30,15:00:00,23:00:00
70328,1040,null,null,2025-05-31,19:00:00,03:00:00
70329,1036,null,null,2025-06-01,23:00:00,07:00:00
70330,1081,null,null,2025-06-02,08:00:00,16:00:00
70331,1085,null,null,2025-05-19,14:00:00,22:00:00
70332,1080,null,null,2025-05-20,08:00:00,16:00:00
70333,1096,null,null,2025-05-21,08:00:00,16:00:00
70334,1095,null,null,2025-05-22,14:00:00,22:00:00
70335,1093,null,null,2025-05-23,08:00:00,16:00:00
70336,1100,null,null,2025-05-24,08:00:00,16:00:00
70337,1102,null,null,2025-05-25,14:00:00,22:00:00
70338,1101,null,null,2025-05-26,08:00:00,16:00:00
70339,1110,null,null,2025-05-27,08:00:00,16:00:00
70340,1106,null,null,2025-05-28,14:00:00,22:00:00
70341,1108,null,null,2025-05-29,08:00:00,16:00:00
70342,1115,null,null,2025-05-30,08:00:00,16:00:00
70343,1111,null,null,2025-05-31,14:00:00,22:00:00
70344,1116,null,null,2025-06-01,08:00:00,16:00:00
70345,1118,null,null,2025-06-02,08:00:00,16:00:00
70346,1117,null,null,2025-05-19,14:00:00,22:00:00
70347,1121,null,null,2025-05-20,08:00:00,16:00:00
70348,1123,null,null,2025-05-21,08:00:00,16:00:00
70349,1125,null,null,2025-05-22,14:00:00,22:00:00
70350,1126,null,null,2025-05-23,08:00:00,16:00:00
70351,1128,null,null,2025-05-24,14:00:00,22:00:00
70352,1130,null,null,2025-05-25,08:00:00,16:00:00
70353,1140,null,null,2025-05-26,08:00:00,16:00:00
70354,1141,null,null,2025-05-27,14:00:00,22:00:00
70355,1143,null,null,2025-05-28,08:00:00,16:00:00
70356,1147,null,null,2025-05-29,06:00:00,14:00:00
70357,1175,null,null,2025-05-30,14:00:00,22:00:00
70358,1163,null,null,2025-05-31,22:00:00,06:00:00
70359,1155,null,null,2025-06-01,06:00:00,14:00:00
70360,1185,null,null,2025-06-02,08:00:00,16:00:00
70361,1188,null,null,2025-05-19,14:00:00,22:00:00
70362,1192,null,null,2025-05-20,08:00:00,16:00:00
70363,1193,null,null,2025-05-21,14:00:00,22:00:00
70364,1195,null,null,2025-05-22,08:00:00,16:00:00
70365,1199,null,null,2025-05-23,08:00:00,16:00:00
70366,1197,null,null,2025-05-24,14:00:00,22:00:00
70367,1198,null,null,2025-05-25,08:00:00,16:00:00
70368,1234,null,null,2025-05-26,08:00:00,16:00:00
70369,1222,null,null,2025-05-27,14:00:00,22:00:00
70370,1245,null,null,2025-05-28,08:00:00,16:00:00
70371,1252,null,null,2025-05-29,08:00:00,16:00:00
70372,1249,null,null,2025-05-30,14:00:00,22:00:00
70373,1262,null,null,2025-05-31,08:00:00,16:00:00
70374,1256,null,null,2025-06-01,14:00:00,22:00:00
70375,1261,null,null,2025-06-02,08:00:00,16:00:00
70376,1269,null,null,2025-05-19,08:00:00,16:00:00
70377,1264,null,null,2025-05-20,14:00:00,22:00:00
70378,1267,null,null,2025-05-21,08:00:00,16:00:00
70379,1271,null,null,2025-05-22,08:00:00,16:00:00
70380,1272,null,null,2025-05-23,14:00:00,22:00:00
70381,1274,null,null,2025-05-24,08:00:00,16:00:00
70382,1277,null,null,2025-05-25,08:00:00,16:00:00
70383,1279,null,null,2025-05-26,14:00:00,22:00:00
70384,1276,null,null,2025-05-27,08:00:00,16:00:00
70385,1297,null,null,2025-05-28,08:00:00,16:00:00
70386,1289,null,null,2025-05-29,14:00:00,22:00:00
70387,1287,null,null,2025-05-30,08:00:00,16:00:00
70388,1302,null,null,2025-05-31,08:00:00,16:00:00
70389,1304,null,null,2025-06-01,14:00:00,22:00:00
70390,1301,null,null,2025-06-02,08:00:00,16:00:00
70391,1316,null,null,2025-05-19,08:00:00,16:00:00
70392,1332,null,null,2025-05-20,14:00:00,22:00:00
70393,1336,null,null,2025-05-21,08:00:00,16:00:00
70394,1386,null,null,2025-05-22,08:00:00,16:00:00
70395,1364,null,null,2025-05-23,14:00:00,22:00:00
70396,1349,null,null,2025-05-24,08:00:00,16:00:00
70397,1400,null,null,2025-05-25,08:00:00,16:00:00
70398,1398,null,null,2025-05-26,14:00:00,22:00:00
70399,1393,null,null,2025-05-27,08:00:00,16:00:00
70400,1006,null,null,2025-05-28,06:00:00,14:00:00
70401,1007,null,null,2025-05-29,14:00:00,22:00:00
70402,1004,null,null,2025-05-30,18:00:00,02:00:00
70403,1012,null,null,2025-05-31,08:00:00,16:00:00
70404,1010,null,null,2025-06-01,12:00:00,20:00:00
70405,1015,null,null,2025-06-02,08:00:00,16:00:00
70406,1014,null,null,2025-05-19,14:00:00,22:00:00
70407,1019,null,null,2025-05-20,08:00:00,16:00:00
70408,1017,null,null,2025-05-21,14:00:00,22:00:00
70409,1022,null,null,2025-05-22,08:00:00,16:00:00
70410,1021,null,null,2025-05-23,14:00:00,22:00:00
70411,1026,null,null,2025-05-24,08:00:00,16:00:00
70412,1024,null,null,2025-05-25,14:00:00,22:00:00
70413,1067,null,null,2025-05-26,07:00:00,15:00:00
70414,1069,null,null,2025-05-27,15:00:00,23:00:00
70415,1037,null,null,2025-05-28,19:00:00,03:00:00
70416,1039,null,null,2025-05-29,23:00:00,07:00:00
70417,1075,null,null,2025-05-30,07:00:00,15:00:00
70418,1049,null,null,2025-05-31,15:00:00,23:00:00
70419,1034,null,null,2025-06-01,19:00:00,03:00:00
70420,1054,null,null,2025-06-02,23:00:00,07:00:00
70421,1084,null,null,2025-05-19,08:00:00,16:00:00
70422,1079,null,null,2025-05-20,14:00:00,22:00:00
70423,1089,null,null,2025-05-21,08:00:00,16:00:00
70424,1097,null,null,2025-05-22,08:00:00,16:00:00
70425,1094,null,null,2025-05-23,14:00:00,22:00:00
70426,1096,null,null,2025-05-24,08:00:00,16:00:00
70427,1104,null,null,2025-05-25,08:00:00,16:00:00
70428,1101,null,null,2025-05-26,14:00:00,22:00:00
70429,1105,null,null,2025-05-27,08:00:00,16:00:00
70430,1109,null,null,2025-05-28,08:00:00,16:00:00
70431,1107,null,null,2025-05-29,14:00:00,22:00:00
70432,1116,null,null,2025-05-30,08:00:00,16:00:00
70433,1114,null,null,2025-05-31,14:00:00,22:00:00
70434,1112,null,null,2025-06-01,08:00:00,16:00:00
70435,1120,null,null,2025-06-02,08:00:00,16:00:00
70436,1119,null,null,2025-05-19,14:00:00,22:00:00
70437,1124,null,null,2025-05-20,08:00:00,16:00:00
70438,1122,null,null,2025-05-21,14:00:00,22:00:00
70439,1127,null,null,2025-05-22,08:00:00,16:00:00
70440,1126,null,null,2025-05-23,14:00:00,22:00:00
70441,1129,null,null,2025-05-24,08:00:00,16:00:00
70442,1134,null,null,2025-05-25,08:00:00,16:00:00
70443,1146,null,null,2025-05-26,14:00:00,22:00:00
70444,1144,null,null,2025-05-27,08:00:00,16:00:00
70445,1148,null,null,2025-05-28,06:00:00,14:00:00
70446,1160,null,null,2025-05-29,14:00:00,22:00:00
70447,1152,null,null,2025-05-30,22:00:00,06:00:00
70448,1156,null,null,2025-05-31,06:00:00,14:00:00
70449,1189,null,null,2025-06-01,08:00:00,16:00:00
70450,1186,null,null,2025-06-02,14:00:00,22:00:00
70451,1187,null,null,2025-05-19,08:00:00,16:00:00
70452,1194,null,null,2025-05-20,08:00:00,16:00:00
70453,1193,null,null,2025-05-21,14:00:00,22:00:00
70454,1191,null,null,2025-05-22,08:00:00,16:00:00
70455,1200,null,null,2025-05-23,08:00:00,16:00:00
70456,1198,null,null,2025-05-24,14:00:00,22:00:00
70457,1196,null,null,2025-05-25,08:00:00,16:00:00
70458,1211,null,null,2025-05-26,08:00:00,16:00:00
70459,1223,null,null,2025-05-27,14:00:00,22:00:00
70460,1221,null,null,2025-05-28,08:00:00,16:00:00
70461,1250,null,null,2025-05-29,08:00:00,16:00:00
70462,1251,null,null,2025-05-30,14:00:00,22:00:00
70463,1253,null,null,2025-05-31,08:00:00,16:00:00
70464,1255,null,null,2025-06-01,08:00:00,16:00:00
70465,1260,null,null,2025-06-02,14:00:00,22:00:00
70466,1258,null,null,2025-05-19,08:00:00,16:00:00
70467,1266,null,null,2025-05-20,08:00:00,16:00:00
70468,1268,null,null,2025-05-21,14:00:00,22:00:00
70469,1265,null,null,2025-05-22,08:00:00,16:00:00
70470,1272,null,null,2025-05-23,08:00:00,16:00:00
70471,1273,null,null,2025-05-24,14:00:00,22:00:00
70472,1270,null,null,2025-05-25,08:00:00,16:00:00
70473,1277,null,null,2025-05-26,08:00:00,16:00:00
70474,1275,null,null,2025-05-27,14:00:00,22:00:00
70475,1280,null,null,2025-05-28,08:00:00,16:00:00
70476,1300,null,null,2025-05-29,08:00:00,16:00:00
70477,1288,null,null,2025-05-30,14:00:00,22:00:00
70478,1283,null,null,2025-05-31,08:00:00,16:00:00
70479,1303,null,null,2025-06-01,08:00:00,16:00:00
